Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
9,4
6,4
1,1
3,2
1,6
10,21
50,105
95,257
146,291
104,172
46,72
32,10
41,35
48,42
51,77
92,72
182,133
391,192
258,122
69,59
51,29
38,25
25,24
12,5
11,7
0,3
6,3
3,0
1,7
11,15
51,91
89,230
134,284
94,147
53,67
55,53
50,54
71,55
56,63
74,73
161,114
353,154
241,137
107,57
56,27
39,31
21,25
30,11
7,4
4,4
3,4
2,2
2,7
7,18
37,68
101,218
119,251
81,131
48,71
61,43
46,55
50,62
62,63
84,80
190,120
290,144
209,107
73,42
41,27
31,11
26,10
16,16
7,8
5,10
2,7
2,1
1,4
2,3
15,12
16,17
47,58
55,59
47,68
48,76
73,91
82,95
114,89
96,115
76,107
73,107
55,41
38,40
18,25
15,18
20,14
19,15
5,6
5,12
1,2
2,4
2,1
3,6
8,9
12,14
26,43
36,67
41,67
71,94
91,100
99,129
115,126
109,122
93,132
73,118
45,68
23,26
36,19
35,12
9,9
11,5
5,4
2,2
0,5
4,1
2,3
7,16
48,89
94,233
153,304
104,174
44,53
44,55
55,53
44,52
62,59
75,92
135,117
390,214
226,139
95,73
57,37
35,28
14,15
13,11
4,8
2,1
2,2
3,5
5,4
9,22
50,103
110,258
145,317
112,163
36,58
45,29
40,37
37,46
54,54
72,62
149,95
400,197
244,152
105,58
53,32
34,30
17,17
14,9
7,8
2,1
0,3
3,1
2,3
9,16
40,109
95,245
133,302
99,156
44,53
21,34
40,47
48,46
39,54
65,65
128,102
377,155
215,116
94,51
56,30
38,24
19,17
13,10
14,7
6,4
5,8
2,0
1,11
12,0
41,2
79,225
122,282
48,141
0,4
5,87
37,44
58,60
56,52
69,74
135,135
360,157
186,113
92,57
60,44
45,26
19,29
16,17
9,8
6,7
1,4
3,4
3,2
4,10
30,57
58,125
86,182
45,100
29,33
31,27
28,41
33,39
30,35
63,50
96,69
212,92
112,66
49,30
27,11
16,10
3,11
15,9
12,6
6,5
6,10
0,4
2,1
3,7
5,9
13,17
8,24
20,21
17,29
14,28
24,48
26,38
32,30
20,21
32,26
25,25
24,35
17,10
10,9
6,4
14,4
15,4
3,3
4,5
4,4
0,4
1,4
0,3
7,5
4,10
8,16
26,28
25,47
18,63
22,40
33,49
30,28
15,22
16,18
10,27
9,18
13,10
6,5
4,8
6,7
7,3
5,2
1,2
1,4
2,1
2,4
7,19
34,59
58,167
92,235
73,130
29,57
21,45
38,46
29,42
33,40
58,49
76,64
239,96
150,54
51,27
38,17
18,18
11,15
7,7
4,6
3,2
0,3
4,1
3,2
8,21
34,88
69,187
104,253
77,130
47,77
36,47
26,49
42,48
44,53
86,77
146,109
353,147
198,109
90,45
47,41
30,35
14,16
12,13
9,13
3,3
3,2
4,0
